textID,original,sentiment,prefix,completion,combined,orig_without_prefix,cosine_sim
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral,<sentiment: neutral>Should have left car and walked home! I might, have to do that tomorrow.  #bushfire,<sentiment: neutral>Should have left car and walked home! I might have to do that tomorrow.  #bushfire,need someone to rescue me with petrol! Light flashing,0.1862790286540985
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,<sentiment: neutral>i`m only updating this so that brett`s phone beeps , at him.  i`m not really sure what to do with my life,<sentiment: neutral>i`m only updating this so that brett`s phone beeps  at him.  i`m not really sure what to do with my life,but really.. looking at wedding stuff. again.for the next five months.,0.1265449821949005
d3d7b13278,"Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive,<sentiment: positive>Hi there.  I agree!  Small children, are the best teachers.  Have a great day!,<sentiment: positive>Hi there.  I agree!  Small children are the best teachers.  Have a great day!,"should be running about happy, not breaking down in tears",0.3183821141719818
ddc07db84e,Hope ur havin fun in da club,positive,<sentiment: positive>Hope ur havin, a good day hun!,<sentiment: positive>Hope ur havin a good day hun!,fun in da club,0.3568328619003296
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,<sentiment: neutral>i miss my old phone it worked so good until i, accidentally threw it across the room and it broke.,<sentiment: neutral>i miss my old phone it worked so good until i accidentally threw it across the room and it broke.,dropped it  i want a new one for my birthday...,0.2022886574268341
17d18ba9ef,thinks SG is wonderful,positive,<sentiment: positive>thinks, it`s time,<sentiment: positive>thinks it`s time,SG is wonderful,0.25607186555862427
ab57d75f20,im really sorry i know wallah how u feel this life is shittttttttt,negative,<sentiment: negative>im really sorry i know wallah how u, feel  i`m just a lil jealous,<sentiment: negative>im really sorry i know wallah how u feel  i`m just a lil jealous,feel this life is shittttttttt,0.2633892893791199
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,<sentiment: neutral>Is watching acoustic performances! & In the mood for a, good book!  I`m reading 'The Notebook',<sentiment: neutral>Is watching acoustic performances! & In the mood for a good book!  I`m reading 'The Notebook',good 'FRIENDS' episode! I miss that show,0.16924981772899628
d6c34fa875,I`ll oscillate from one to the other.,neutral,<sentiment: neutral>I`ll oscillate, between both of those all day,<sentiment: neutral>I`ll oscillate between both of those all day,from one to the other.,0.15602806210517883
10dcbe4dfb,you should totally come get me and bring me to kelslaws house with you.,neutral,<sentiment: neutral>you should totally come get me and bring, me back to the land of the living,<sentiment: neutral>you should totally come get me and bring me back to the land of the living,me to kelslaws house with you.,0.19839566946029663
a0bfb12773,"You seem nice, you`re generous and you know your stuff",positive,"<sentiment: positive>You seem nice, you`",re welcome  Have a great day,"<sentiment: positive>You seem nice, you`re welcome  Have a great day",e generous and you know your stuff,0.2794971466064453
71f4a9b495,U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral,<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks, for my fantasy team?  I`m in last place.  LOL,<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks for my fantasy team?  I`m in last place.  LOL, I figured I needed a longshot and they were a better bet than CAR,0.20268715918064117
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral,<sentiment: neutral>almost got a kitty yesterday..., but i didn`t get it.,<sentiment: neutral>almost got a kitty yesterday... but i didn`t get it.,ut it didn`t work out,0.14625602960586548
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,<sentiment: neutral>reality needs to check in. schools over. time to party, but i have to work 6-10pm at the shop.,<sentiment: neutral>reality needs to check in. schools over. time to party but i have to work 6-10pm at the shop.," not tonight tho, im going to bed. night, night.",0.10702652484178543
fe1deac869,Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive,<sentiment: positive>Caladesi was definitely a nice peaceful way to, spend the day.  {link},<sentiment: positive>Caladesi was definitely a nice peaceful way to spend the day.  {link},spend a Sunday! I got a lil tan!,0.08031626045703888
e591a725ef,i still dont know what we would do though,neutral,<sentiment: neutral>i still dont know, what to do.,<sentiment: neutral>i still dont know what to do.,what we would do though,0.07945425808429718
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,"<sentiment: neutral>_xo   dang it, so its", not just me then  haha.,"<sentiment: neutral>_xo   dang it, so its not just me then  haha.",not certain ? ? ? are you okay?,0.1274285763502121
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral,<sentiment: neutral>Change of plans. I am staying in Brandon, tonight.  #fb {link},<sentiment: neutral>Change of plans. I am staying in Brandon tonight.  #fb {link},  No Papaya Salad for me.,0.2125496119260788
7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",negative,"<sentiment: negative>Dear rain, you suck. Now", I`m going to be late.,"<sentiment: negative>Dear rain, you suck. Now I`m going to be late.",I gotta change my plans for tonight,0.0627661794424057
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral,<sentiment: neutral>at starbucks with my love. eff,ing cold out. i want to go home,<sentiment: neutral>at starbucks with my love. effing cold out. i want to go home,school. i have work later too.,0.12650057673454285
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,negative,<sentiment: negative>I just cried whilst watching hollyo,aks most of the time i do though,<sentiment: negative>I just cried whilst watching hollyoaks most of the time i do though,ks  .. i need a life! lol,-0.0985281690955162
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting"," weekend.  I`m off to bed now, goodnight all","<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting weekend.  I`m off to bed now, goodnight all",bank holiday around the diy shops...life cant get much better.surely,0.2627936601638794
d41fe360e4,"for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,"<sentiment: negative>for...the...loss. dumbface ...him, not u.", u were awesome.  i`m so sorry u lost.  ****,"<sentiment: negative>for...the...loss. dumbface ...him, not u. u were awesome.  i`m so sorry u lost.  ****", what u up to on the wknd? i wanna seeeeeee ya!,0.36590996384620667
a04c8c8695,Why do I have to enter my registration details every time I update?,neutral,<sentiment: neutral>Why do I have to enter my, password to read my own tweets?,<sentiment: neutral>Why do I have to enter my password to read my own tweets?,registration details every time I update?,0.251717209815979
25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",positive,"<sentiment: positive>On the monday, so i wont be able", to go to the concert  #hhrs,"<sentiment: positive>On the monday, so i wont be able to go to the concert  #hhrs",to be with you!  i love you,0.15312904119491577
5843d17b1d,"Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,"<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream,", and I`m a fan of u 2..Love ya..God Bless,"<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream, and I`m a fan of u 2..Love ya..God Bless",This Kiss and appearances like in Dawson`s Creek  Make more flicks!,0.3187510371208191
474d10ff48,TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,<sentiment: neutral>TGIF is right...I think I broke, my finger today...it`s swollen and black and blue,<sentiment: neutral>TGIF is right...I think I broke my finger today...it`s swollen and black and blue,my toe last night - on my bad foot.,0.1062454953789711
38e69da3a1,"Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral,"<sentiment: neutral>Oherr it`s soon then, do you have", any idea what you`re going to wear?,"<sentiment: neutral>Oherr it`s soon then, do you have any idea what you`re going to wear?",plans? I had a party on saturday  x,0.08341707289218903
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",negative,"<sentiment: negative>: hmmm, wrong", number  i`ll try again,"<sentiment: negative>: hmmm, wrong number  i`ll try again","link, ignore my tweet",0.12491150200366974
7a81537034,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative,<sentiment: negative>AT&T cheated the system and now I have, to wait another 2 hours for my phone.,<sentiment: negative>AT&T cheated the system and now I have to wait another 2 hours for my phone.,no Green Day tickets  **** you AT&T!,0.22213315963745117
311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,<sentiment: negative>Tracy and Berwick breaks my achy break,y heart. I`m so sad right now.,<sentiment: negative>Tracy and Berwick breaks my achy breaky heart. I`m so sad right now., heart  They split ways in the hallways.,0.2583703398704529
1e46d72ec6,"yep, i wish they were all playing dubiln",positive,"<sentiment: positive>yep, i wish they", had a 'buy me a drink',"<sentiment: positive>yep, i wish they had a 'buy me a drink'",were all playing dubiln,0.10536666214466095
390f169584,im a lady and ladies don`t move couches. they direct where the couches go,neutral,<sentiment: neutral>im a lady and ladies don`t move couch,s  but i will if you want me to,<sentiment: neutral>im a lady and ladies don`t move couchs  but i will if you want me to,s. they direct where the couches go,0.16661953926086426
58129e4130,Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,<sentiment: positive>Yay for Block Party!  You`re the BOMB!,  I`m so glad I got to see you in concert!,<sentiment: positive>Yay for Block Party!  You`re the BOMB!  I`m so glad I got to see you in concert!,Blockheads <3 Dave!   Thanks for supporting NKOTB!,0.27674755454063416
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral,<sentiment: neutral>Guess what? mom adopted a kitty today, and named it  {link},<sentiment: neutral>Guess what? mom adopted a kitty today and named it  {link},(11 months) His name is Corky,0.08626104891300201
a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you have, a great day and get lots of presents!  ****,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you have a great day and get lots of presents!  ****, the best day ever! Let`s go shopping!!!,0.42448753118515015
5d57a5eda2,Thank you!  I`m working on `s,positive,<sentiment: positive>Thank you!  I, am so glad you like it,<sentiment: positive>Thank you!  I am so glad you like it,m working on `s,0.2844924330711365
1e3561e921,lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont how, long it`ll take me to get there  i`ll be there tho,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont how long it`ll take me to get there  i`ll be there tho,i woulda made it wit out my ramen noodles and t.v. Time,0.1478251814842224
cde0016d6d,"{link} - My ear hurts, and THIS is my medicine. GUM",negative,"<sentiment: negative>{link} - My ear hurts,", and I`m missing my best friend,"<sentiment: negative>{link} - My ear hurts, and I`m missing my best friend",and THIS is my medicine. GUM,0.018543541431427002
5fc411e8d1,_berland LMAO I know I know,neutral,<sentiment: neutral>_berland LMA,O i know right?,<sentiment: neutral>_berland LMAO i know right?, I know I know,0.06838288903236389
76da985a47,The underwire in my bra is sticking out and poking me in the armpit,negative,<sentiment: negative>The underwire in my bra is sticking, me.  I hate that feeling.,<sentiment: negative>The underwire in my bra is sticking me.  I hate that feeling.,out and poking me in the armpit,0.173541858792305
2afe118dc3,I can`t call Mitch!  Im from sweden!,neutral,<sentiment: neutral>I can`t call Mitch!,  I`m at work!,<sentiment: neutral>I can`t call Mitch!  I`m at work!, Im from sweden!,0.13636839389801025
704c53f4cf,Happy star wars day! May the fourth be with you,positive,<sentiment: positive>Happy star wars day!, May the 4th be with you,<sentiment: positive>Happy star wars day! May the 4th be with you,May the fourth be with you,0.2089623510837555
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,<sentiment: neutral>was so excited to eat the wartermelon i, just bought but its not ripe yet  oh well,<sentiment: neutral>was so excited to eat the wartermelon i just bought but its not ripe yet  oh well,bought the other day and it was terrible and not sweet,0.2884618639945984
c238c4dbb7,i just watched Marley & Me...i cried so hard!,negative,<sentiment: negative>i just watched Marley &, I am so sad right now,<sentiment: negative>i just watched Marley & I am so sad right now,Me...i cried so hard!,0.2933577299118042
dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos,neutral,<sentiment: neutral>Take antibacterial to school to clean, your hands.  {link},<sentiment: neutral>Take antibacterial to school to clean your hands.  {link},your hands when you cant go the loos,0.07071423530578613
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sunday, or Monday. I`m thinking Monday. I`ll let you know.,<sentiment: neutral>I`m leaving work now. Trying to decide if I return on Sunday or Monday. I`m thinking Monday. I`ll let you know.,afternoon or Monday 4 am to meet a noon (UK time) deadline.,0.43471550941467285
eb2fc4d281,haaaw..well i get out of class at 10:50..i hope i make it,positive,<sentiment: positive>haaaw..well i get out of class, in 10 minutes  i love being in the sun,<sentiment: positive>haaaw..well i get out of class in 10 minutes  i love being in the sun,at 10:50..i hope i make it,0.08712492138147354
f9382a1f7b,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",neutral,"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will be", gone by the time I get to the park.  {link},"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will be gone by the time I get to the park.  {link}",gone by the time I leave work and replaced with rain.  /vent,0.10457344353199005
54670ca807,skype call with billie but my webcam dont work,neutral,<sentiment: neutral>skype call with bill, and jessie!,<sentiment: neutral>skype call with bill and jessie!,e but my webcam dont work,0.10649923235177994
3ab338c459,"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",positive,<sentiment: positive>Just had a great study time followed by a delicious Japanese meal with, my best friend.  I love my life.  {link},<sentiment: positive>Just had a great study time followed by a delicious Japanese meal with my best friend.  I love my life.  {link},"Arty! Now, trying to get back into the study mood",0.1314309537410736
c7c7f7f025,FML not having a car is prohibiting finding a job,negative,<sentiment: negative>FML not having a car, is a real pain in the ****,<sentiment: negative>FML not having a car is a real pain in the ****,is prohibiting finding a job,0.15050554275512695
1256e6a4d2,"lol since I got twitter a little while ago, it seems like loads of people setting up an account",neutral,"<sentiment: neutral>lol since I got twitter a little while ago,", it`s been nothing but rain.  go figure.,"<sentiment: neutral>lol since I got twitter a little while ago, it`s been nothing but rain.  go figure.",it seems like loads of people setting up an account,0.2030220329761505
990cdeae87,I want to see David cook!!,positive,<sentiment: positive>I want to, go to the beach,<sentiment: positive>I want to go to the beach,see David cook!!,0.06785260885953903
c8307a482d,learning tat the scenic way  din plan to go town but somehow was herded there?,neutral,<sentiment: neutral>learning tat the scenic way  din plan to, go to the gym but i guess i will,<sentiment: neutral>learning tat the scenic way  din plan to go to the gym but i guess i will,go town but somehow was herded there?,0.016442153602838516
0a21b662a4,"i don`t want to do anything specific, i just want to see you and puppy!",neutral,"<sentiment: neutral>i don`t want to do anything specific,", just chill at home and watch a movie or something,"<sentiment: neutral>i don`t want to do anything specific, just chill at home and watch a movie or something",i just want to see you and puppy!,0.2556956112384796
297f7d9e0f,yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative,<sentiment: negative>yeah i need his fricken cell number ive tried his home, and work and no one answers  i wanna talk to him,<sentiment: negative>yeah i need his fricken cell number ive tried his home and work and no one answers  i wanna talk to him,for months and hes too busy. i miss braddddddddd,0.3570519685745239
68901906a4,Toy Story 3 trailer premiered with Up. I need my computer back.,neutral,<sentiment: neutral>Toy Story 3 trailer premiered with, Up. I missed it.,<sentiment: neutral>Toy Story 3 trailer premiered with Up. I missed it.,Up. I need my computer back.,0.2145814299583435
3112944847,ughh on the phone with HP!,neutral,<sentiment: neutral>ughh on the, way to work.,<sentiment: neutral>ughh on the way to work.,phone with HP!,0.13471382856369019
8f8334ffa2,And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',neutral,<sentiment: neutral>And- hand made by Dan & Jenn -sock blockers... made, from a plastic hanger & a wooden spoon.  {link},<sentiment: neutral>And- hand made by Dan & Jenn -sock blockers... made from a plastic hanger & a wooden spoon.  {link}, from exotic woods ... one of which is called 'purple heart',0.2704300284385681
e6c154f9be,bahah sadly I am not,negative,<sentiment: negative>bahah sadly, enough for me,<sentiment: negative>bahah sadly enough for me,I am not,0.1219269260764122
e96d849b35,i always have those for my Champions League parties  Tis awesome,positive,<sentiment: positive>i always have those for my, friends  you`re welcome,<sentiment: positive>i always have those for my friends  you`re welcome,Champions League parties  Tis awesome,0.24690279364585876
124e30d941,"well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive,"<sentiment: positive>well, not all. just stay away from those kinds and surround yourself with", good people.  and you`ll be fine.  {link},"<sentiment: positive>well, not all. just stay away from those kinds and surround yourself with good people.  and you`ll be fine.  {link}","those who don`t. happy mother`s day to ur mom, treiz!",0.25740426778793335
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral,<sentiment: neutral>_Adel they didn`t reply yet.. wait till they, do.. I`ll let you know if they do..,<sentiment: neutral>_Adel they didn`t reply yet.. wait till they do.. I`ll let you know if they do..,confirm.. in case somebody might have translated it already..,0.19091376662254333
e90acf3c42,thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative,<sentiment: negative>thats rough. hubby had knee surgery but it did help him in the, end. he can`t run anymore but he can walk without pain.  sorry,<sentiment: negative>thats rough. hubby had knee surgery but it did help him in the end. he can`t run anymore but he can walk without pain.  sorry,end. Let us know the results. We`ll keep him in our prayers,0.28160566091537476
0b0944285d,might have to go back much earlier than expected. bye bye bay area,neutral,<sentiment: neutral>might have to go back much earlier, than I thought.  {link},<sentiment: neutral>might have to go back much earlier than I thought.  {link},than expected. bye bye bay area,0.2038828432559967
a11da2d3bf,"Playin City of Villains, wishin my buddies were playin with me.....",positive,"<sentiment: positive>Playin City of Villains, wish", I had a guitar to play it on,"<sentiment: positive>Playin City of Villains, wish I had a guitar to play it on",n my buddies were playin with me.....,0.1216437965631485
161bfc7c8a,"yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive,"<sentiment: positive>yep - three things: a good haircut, the", weather and a good book.  all present and correct,"<sentiment: positive>yep - three things: a good haircut, the weather and a good book.  all present and correct",ability to listen and the value of not taking yourself too seriously,0.18219611048698425
4a65010643,riley hacked my twitter!  hahaha :],neutral,<sentiment: neutral>riley hacked my twitter, account  {link},<sentiment: neutral>riley hacked my twitter account  {link},  hahaha :],0.20435887575149536
1b460c82f0,Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,neutral,<sentiment: neutral>Big Sad Face   Bing doesn`t work on iPhone.,   I can`t search for anything on my phone.,<sentiment: neutral>Big Sad Face   Bing doesn`t work on iPhone.   I can`t search for anything on my phone., It just takes you to the regular mobile Live search.,0.34515437483787537
43e91a5488,I liked it.  Did you record it yourself?  If so you have a very soothing voice.,positive,<sentiment: positive>I liked it.  Did you record it yourself,?  I`m still trying to figure that out,<sentiment: positive>I liked it.  Did you record it yourself?  I`m still trying to figure that out,  If so you have a very soothing voice.,0.038282934576272964
410dd99aa3,man im so sad school is ending  but then again high school might be better :O,neutral,<sentiment: neutral>man im so sad school is ending  but, im so excited for the summer and my birthday!,<sentiment: neutral>man im so sad school is ending  but im so excited for the summer and my birthday!,then again high school might be better :O,0.15548008680343628
b3eadfc565,"Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",positive,"<sentiment: positive>Folks thought it was hilarious when I told them the story, and", they were all like 'you`re so crazy!'  I am.,"<sentiment: positive>Folks thought it was hilarious when I told them the story, and they were all like 'you`re so crazy!'  I am.",then they saw the shirt I wore tonight.  Laughter all night.,0.19003352522850037
