textID,original,sentiment,prefix,completion,combined,orig_without_prefix
972dc5787d,_LaMont yr very young looking dude,positive,<sentiment: positive>_LaMont yr,welcome!,<sentiment: positive>_LaMont yrwelcome!,very young looking dude
dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos,neutral,<sentiment: neutral>Take antibacterial to school to clean,my hands,<sentiment: neutral>Take antibacterial to school to cleanmy hands,your hands when you cant go the loos
261932614e,I THINK EVERYONE HATES ME ON HERE   lol,negative,<sentiment: negative>I THINK EVERYONE H,ATES ME,<sentiment: negative>I THINK EVERYONE HATES ME,TES ME ON HERE   lol
311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,<sentiment: negative>Tracy and Berwick breaks my achy break,y heart,<sentiment: negative>Tracy and Berwick breaks my achy breaky heart, heart  They split ways in the hallways.
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral,<sentiment: neutral>Should have left car and walked home! I might,be sick,<sentiment: neutral>Should have left car and walked home! I mightbe sick,need someone to rescue me with petrol! Light flashing
5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>,neutral,<sentiment: neutral>Gnight shar   <(` `<,)3,<sentiment: neutral>Gnight shar   <(` `<)3,Vega(>` `)>
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,<sentiment: negative>Its coming out the socket  I feel like my phones hole is,too big,<sentiment: negative>Its coming out the socket  I feel like my phones hole istoo big,not a virgin. That`s how loose it is... :`(
a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you have,a great day,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you havea great day, the best day ever! Let`s go shopping!!!
76da985a47,The underwire in my bra is sticking out and poking me in the armpit,negative,<sentiment: negative>The underwire in my bra is sticking,into my skin,<sentiment: negative>The underwire in my bra is stickinginto my skin,out and poking me in the armpit
3dcf4f7e13,"... need retail therapy, bad. AHHH.....gimme money geebus",negative,"<sentiment: negative>... need retail therapy, bad. A",HHH!,"<sentiment: negative>... need retail therapy, bad. AHHH!",HH.....gimme money geebus
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,neutral,<sentiment: neutral>I always forget SOMETHING when I,leave the house,<sentiment: neutral>I always forget SOMETHING when Ileave the house, travel. I am at Newark airport.
9b1a52cc02, where`d you go!,neutral,<sentiment: neutral>where`d,you go?,<sentiment: neutral>where`dyou go?, you go!
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont how,to spend it,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont howto spend it, i woulda made it wit out my ramen noodles and t.v. Time
00d5195223,Cramps . . .,negative,<sentiment: negative>Cramps,are killing me,<sentiment: negative>Crampsare killing me,. . .
ddc07db84e,  Hope ur havin fun in da club,positive,<sentiment: positive>Hope ur havin,a good day!,<sentiment: positive>Hope ur havina good day!,n fun in da club
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im",grounded for a week,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, imgrounded for a week",just sat eating an apple and watching death note (some anime)
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral,<sentiment: neutral>you should totally come get me and bring,me to the show,<sentiment: neutral>you should totally come get me and bringme to the show, me to kelslaws house with you.
e591a725ef, i still dont know what we would do though,neutral,<sentiment: neutral>i still dont know,what to do today,<sentiment: neutral>i still dont knowwhat to do today, what we would do though
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral,<sentiment: neutral>at starbucks with my love. eff,in` cold outside,<sentiment: neutral>at starbucks with my love. effin` cold outside,school. i have work later too.
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,neutral,<sentiment: neutral>resorted to eating Mickey,D`s for lunch,<sentiment: neutral>resorted to eating MickeyD`s for lunch,Ds ALONE.
a0bfb12773," You seem nice, you`re generous and you know your stuff",positive,"<sentiment: positive>You seem nice, you`",re a good friend,"<sentiment: positive>You seem nice, you`re a good friend",re generous and you know your stuff
d3d7b13278," Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive,<sentiment: positive>Hi there.  I agree!  Small children,are the best!,<sentiment: positive>Hi there.  I agree!  Small childrenare the best!," should be running about happy, not breaking down in tears"
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative,<sentiment: negative>My bike was put on hold...should,have been here today,<sentiment: negative>My bike was put on hold...shouldhave been here today,have known that.... argh total bummer
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,neutral,<sentiment: neutral>What did you get?  My day is alright.. haven,`t done much yet,<sentiment: neutral>What did you get?  My day is alright.. haven`t done much yet,`t done anything yet. leaving soon to my stepsister though!
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......",I miss my boys,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......I miss my boys","t makes me kinda sad, he is getting so big, check out my twipics"
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,<sentiment: neutral>i miss my old phone it worked so good until i,dropped it in the toilet,<sentiment: neutral>i miss my old phone it worked so good until idropped it in the toilet,dropped it  i want a new one for my birthday...
d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,"<sentiment: negative>for...the...loss. dumbface ...him, not u.",i`m sorry.,"<sentiment: negative>for...the...loss. dumbface ...him, not u.i`m sorry.",. what u up to on the wknd? i wanna seeeeeee ya!
599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",negative,<sentiment: negative>feels sorry every time I`m printing,a receipt for my customers,<sentiment: negative>feels sorry every time I`m printinga receipt for my customers,"out, I use like 200 new papers"
e6c9e5e3ab, 26th February,neutral,<sentiment: neutral>26,0 days till my birthday,<sentiment: neutral>260 days till my birthday,th February
5843d17b1d," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,"<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream,",it`s my favorite song,"<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream,it`s my favorite song", This Kiss and appearances like in Dawson`s Creek  Make more flicks!
c238c4dbb7,i just watched Marley & Me...i cried so hard!,negative,<sentiment: negative>i just watched Marley &,Me and cried like a baby,<sentiment: negative>i just watched Marley &Me and cried like a baby,Me...i cried so hard!
95701e8ed9, guess that depends on if you want to be on the jury,neutral,<sentiment: neutral>guess that depends on if you,`re a boy or girl,<sentiment: neutral>guess that depends on if you`re a boy or girl, want to be on the jury
5d57a5eda2, Thank you!  I`m working on `s,positive,<sentiment: positive>Thank you!  I,`m glad you liked it,<sentiment: positive>Thank you!  I`m glad you liked it,`m working on `s
43b390b336, I checked.  We didn`t win,neutral,<sentiment: neutral>I checked. ,I`m not on it.,<sentiment: neutral>I checked. I`m not on it., We didn`t win
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral,"<sentiment: neutral>Oherr it`s soon then, do you have",any plans for the weekend?,"<sentiment: neutral>Oherr it`s soon then, do you haveany plans for the weekend?", plans? I had a party on saturday  x
be634ebeb0,My dead grandpa pays more attention to me than you do,negative,<sentiment: negative>My dead grandpa pays more,attention to me than my mom,<sentiment: negative>My dead grandpa pays moreattention to me than my mom,attention to me than you do
54670ca807,skype call with billie but my webcam dont work,neutral,<sentiment: neutral>skype call with bill,ie,<sentiment: neutral>skype call with billie,e but my webcam dont work
c7c7f7f025,FML not having a car is prohibiting finding a job,negative,<sentiment: negative>FML not having a car,sucks,<sentiment: negative>FML not having a carsucks,is prohibiting finding a job
704c53f4cf,Happy star wars day! May the fourth be with you,positive,<sentiment: positive>Happy star wars day!,May the 4th be with you,<sentiment: positive>Happy star wars day!May the 4th be with you,May the fourth be with you
17d18ba9ef,thinks SG is wonderful,positive,<sentiment: positive>thinks,its going to be a good day,<sentiment: positive>thinksits going to be a good day,SG is wonderful
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral,<sentiment: neutral>was so excited to eat the wartermelon i,bought but it wasnt ripe yet,<sentiment: neutral>was so excited to eat the wartermelon ibought but it wasnt ripe yet,bought the other day and it was terrible and not sweet
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,<sentiment: neutral>i`m only updating this so that brett`s phone beeps ,i`m not really doing anything,<sentiment: neutral>i`m only updating this so that brett`s phone beeps i`m not really doing anything,but really.. looking at wedding stuff. again.for the next five months.
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,<sentiment: positive>you guys didn`t say hi or answer,my call  i was so sad,<sentiment: positive>you guys didn`t say hi or answermy call  i was so sad, my questions yesterday  but nice songs.
4a65010643, riley hacked my twitter!  hahaha :],neutral,<sentiment: neutral>riley hacked my twitter,,<sentiment: neutral>riley hacked my twitter,!  hahaha :]
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral,<sentiment: neutral>almost got a kitty yesterday...,but the breeder said she was sold,<sentiment: neutral>almost got a kitty yesterday...but the breeder said she was sold,ut it didn`t work out
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,"<sentiment: neutral>_xo   dang it, so its",true!  i miss you already!,"<sentiment: neutral>_xo   dang it, so itstrue!  i miss you already!",not certain ? ? ? are you okay?
25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",positive,"<sentiment: positive>On the monday, so i wont be able",to go to the beach with my friends,"<sentiment: positive>On the monday, so i wont be ableto go to the beach with my friends",to be with you!  i love you
1e46d72ec6," yep, i wish they were all playing dubiln",positive,"<sentiment: positive>yep, i wish they",would let me go to the party too,"<sentiment: positive>yep, i wish theywould let me go to the party too", were all playing dubiln
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral,<sentiment: neutral>_Adel they didn`t reply yet.. wait till they,do,<sentiment: neutral>_Adel they didn`t reply yet.. wait till theydo,confirm.. in case somebody might have translated it already..
cce5c4744a,Watching Body of Lies...good film,positive,<sentiment: positive>Watching Body of,Proof.  I love this show!,<sentiment: positive>Watching Body ofProof.  I love this show!,Lies...good film
ae93ad52a0,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,<sentiment: negative>So hot today =_=  don`t like it and,I`m not going to the beach,<sentiment: negative>So hot today =_=  don`t like it andI`m not going to the beach,"i hate my new timetable, having such a bad week"
9ef44428d0,Stupid storm. No river for us tonight,negative,<sentiment: negative>Stupid storm.,I`m stuck in the house.,<sentiment: negative>Stupid storm.I`m stuck in the house.,No river for us tonight
7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",negative,"<sentiment: negative>Dear rain, you suck. Now",I have to go to work in the rain,"<sentiment: negative>Dear rain, you suck. NowI have to go to work in the rain",I gotta change my plans for tonight
43e91a5488, I liked it.  Did you record it yourself?  If so you have a very soothing voice.,positive,<sentiment: positive>I liked it.  Did you record it yourself,?,<sentiment: positive>I liked it.  Did you record it yourself?,?  If so you have a very soothing voice.
33987a8ee5, http://twitpic.com/4w75p - I like it!!,positive,<sentiment: positive>http://twitpic.com/4,z08j - I love this picture,<sentiment: positive>http://twitpic.com/4z08j - I love this picture,w75p - I like it!!
480894125b, you`re the absoute best,positive,<sentiment: positive>you`re,welcome,<sentiment: positive>you`rewelcome, the absoute best
e96d849b35, i always have those for my Champions League parties  Tis awesome,positive,<sentiment: positive>i always have those for my,friends...,<sentiment: positive>i always have those for myfriends..., Champions League parties  Tis awesome
124e30d941," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive,"<sentiment: positive>well, not all. just stay away from those kinds and surround yourself with",good ones,"<sentiment: positive>well, not all. just stay away from those kinds and surround yourself withgood ones"," those who don`t. happy mother`s day to ur mom, treiz!"
e90acf3c42, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative,<sentiment: negative>thats rough. hubby had knee surgery but it did help him in the,long run,<sentiment: negative>thats rough. hubby had knee surgery but it did help him in thelong run, end. Let us know the results. We`ll keep him in our prayers
cde0016d6d,"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",negative,<sentiment: negative>http://twitpic.com/4wp8s -,I`m so jealous of your new phone,<sentiment: negative>http://twitpic.com/4wp8s -I`m so jealous of your new phone,"My ear hurts, and THIS is my medicine. GUM"
8be365118e, you are lame  go make me breakfast!!,negative,<sentiment: negative>you are lame ,i am not going to be able to see you,<sentiment: negative>you are lame i am not going to be able to see you, go make me breakfast!!
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",negative,"<sentiment: negative>: hmmm, wrong",number.  I`m going to bed now,"<sentiment: negative>: hmmm, wrongnumber.  I`m going to bed now","link, ignore my tweet"
c8307a482d, learning tat the scenic way  din plan to go town but somehow was herded there?,neutral,<sentiment: neutral>learning tat the scenic way  din plan to,go to the mall,<sentiment: neutral>learning tat the scenic way  din plan togo to the mall, go town but somehow was herded there?
25510fbf89,I have the Job  this is a nice day it can not be better,positive,<sentiment: positive>I have the Job  this is,great,<sentiment: positive>I have the Job  this isgreat,a nice day it can not be better
3a98aa4762,Happy Mothers Day!!!,positive,<sentiment: positive>Happy,Mother`s Day to all the mom`s out there,<sentiment: positive>HappyMother`s Day to all the mom`s out there,Mothers Day!!!
01082688c6, happy bday!,positive,<sentiment: positive>happy,mothers day to all the mommies out there,<sentiment: positive>happymothers day to all the mommies out there, bday!
f0acd25d8e,Not happy,negative,<sentiment: negative>Not,a good day.  I`m not feeling well,<sentiment: negative>Nota good day.  I`m not feeling well,happy
297f7d9e0f, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative,<sentiment: negative>yeah i need his fricken cell number ive tried his home,phone but no one answers,<sentiment: negative>yeah i need his fricken cell number ive tried his homephone but no one answers, for months and hes too busy. i miss braddddddddd
f87dea47db,Last session of the day  http://twitpic.com/67ezh,neutral,<sentiment: neutral>Last session of the day  http://,plurk.com/p/7z63g,<sentiment: neutral>Last session of the day  http://plurk.com/p/7z63g,witpic.com/67ezh
7a81537034,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative,<sentiment: negative>AT&T cheated the system and now I have,to pay for it.  I`m not happy.,<sentiment: negative>AT&T cheated the system and now I haveto pay for it.  I`m not happy.,no Green Day tickets  **** you AT&T!
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,positive,<sentiment: positive>look who I found just for you  --->,http://twitpic.com/49q56,<sentiment: positive>look who I found just for you  --->http://twitpic.com/49q56,  http://twitter.com/DJT2009
e6c154f9be, bahah sadly I am not,negative,<sentiment: negative>bahah sadly,i dont have a camera,<sentiment: negative>bahah sadlyi dont have a camera, I am not
8fd01857a9,is dreaming of the weekend... awake!,neutral,<sentiment: neutral>is dreaming of the,weekend,<sentiment: neutral>is dreaming of theweekend,weekend... awake!
f9382a1f7b,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",neutral,"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will be",gone by the time I get home,"<sentiment: neutral>oooh, sunshine! A patch of sunshine! And it will begone by the time I get home",gone by the time I leave work and replaced with rain.  /vent
0b34e66ea3,ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,negative,<sentiment: negative>ok so this eye doctor guy is taking forever and i`m,getting really bored,<sentiment: negative>ok so this eye doctor guy is taking forever and i`mgetting really bored,sitting in a cold room by myself...what? A jerk!
726e501993, that`s great!! weee!! visitors!,positive,<sentiment: positive>that`s great!!,I`m so glad you`re having fun!,<sentiment: positive>that`s great!!I`m so glad you`re having fun!, weee!! visitors!
6d846d7d50, I`m sorry  at least it`s Friday?,negative,<sentiment: negative>I`m sorry ,I didn`t mean to hurt you. I`m really sorry,<sentiment: negative>I`m sorry I didn`t mean to hurt you. I`m really sorry, at least it`s Friday?
d5712716e9, well thank your phone for me.,positive,<sentiment: positive>well thank your,mom for me,<sentiment: positive>well thank yourmom for me, phone for me.
fa99046452,im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,neutral,<sentiment: neutral>im just up :-| and its 12:43,am,<sentiment: neutral>im just up :-| and its 12:43am,:O  im so lazy thank god its a bank holiday
cbee1946d3,"just got home from a nice party, just not tired yet",positive,<sentiment: positive>just got home from a nice,dinner with my family,<sentiment: positive>just got home from a nicedinner with my family,"party, just not tired yet"
4e87dcff0e, what are you? flavor of the day?,neutral,<sentiment: neutral>what are you?,,<sentiment: neutral>what are you?, flavor of the day?
614aed9113,I`m so very tired...and have insomnia.,negative,<sentiment: negative>I`m so very,tired. I`m going to bed now. Goodnight everyone,<sentiment: negative>I`m so verytired. I`m going to bed now. Goodnight everyone,tired...and have insomnia.
0a21b662a4," i don`t want to do anything specific, i just want to see you and puppy!",neutral,"<sentiment: neutral>i don`t want to do anything specific,",i just want to be with you,"<sentiment: neutral>i don`t want to do anything specific,i just want to be with you", i just want to see you and puppy!
4b0b53bc98,weathers let me down this morning...ugh!...hada gd nite tho!,neutral,<sentiment: neutral>weathers let me down this morning...ugh,,<sentiment: neutral>weathers let me down this morning...ugh,...hada gd nite tho!
29148dc95c, oh i love sunday mornings like this - mum just made scrambled eggs on toast,positive,<sentiment: positive>oh i love sunday mornings like this,,<sentiment: positive>oh i love sunday mornings like this, - mum just made scrambled eggs on toast
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,neutral,<sentiment: neutral>.. and you`re on twitter!,I`m not surprised. You`re a smart cookie,<sentiment: neutral>.. and you`re on twitter!I`m not surprised. You`re a smart cookie, Did the tavern bore you that much?
f0ef04109b,about to go to sleep,neutral,<sentiment: neutral>about to,go to bed.  i`m going to miss my friends,<sentiment: neutral>about togo to bed.  i`m going to miss my friends,go to sleep
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,"<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I now",know why I have to be in the world but not of it.,"<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I nowknow why I have to be in the world but not of it.","realise, i`m not all that great. and I`m ok with that."
afa11da83f," soooooo wish i could, but im in school and myspace is completely blocked",negative,"<sentiment: negative>soooooo wish i could, but",i can`t.  i`m going to miss you guys,"<sentiment: negative>soooooo wish i could, buti can`t.  i`m going to miss you guys", im in school and myspace is completely blocked
834dc73c0c,Bout to hit pmark then make one of my final meals wit the housemates..,neutral,<sentiment: neutral>Bout to hit pmark then make one,last stop before going home,<sentiment: neutral>Bout to hit pmark then make onelast stop before going home,of my final meals wit the housemates..
fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive,<sentiment: positive>Caladesi was definitely a nice peaceful way to,spend the day.  I`m glad I went with my mom,<sentiment: positive>Caladesi was definitely a nice peaceful way tospend the day.  I`m glad I went with my mom,to spend a Sunday! I got a lil tan!
410dd99aa3,man im so sad school is ending  but then again high school might be better :O,neutral,<sentiment: neutral>man im so sad school is ending  but,i have to work all summer,<sentiment: neutral>man im so sad school is ending  buti have to work all summer,then again high school might be better :O
9fce30159a, Miss you,negative,<sentiment: negative>Miss,ed my train home  and now I`m stuck in the city,<sentiment: negative>Missed my train home  and now I`m stuck in the city, you
e7e27b0c91, Welcome!,positive,<sentiment: positive>Welcome,to the world of Twitter!,<sentiment: positive>Welcometo the world of Twitter!,!
a11da2d3bf,"Playin City of Villains, wishin my buddies were playin with me.....",positive,"<sentiment: positive>Playin City of Villains, wish",I had a tank to run with,"<sentiment: positive>Playin City of Villains, wishI had a tank to run with",n my buddies were playin with me.....
433b1ab9ea,Ahhh my mommie got me new sheets for my bed  so comfy,positive,<sentiment: positive>Ahhh my mommie got me,a new phone,<sentiment: positive>Ahhh my mommie got mea new phone,new sheets for my bed  so comfy
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral,<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks,?  http://twitpic.com/5x46w,<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks?  http://twitpic.com/5x46w,  I figured I needed a longshot and they were a better bet than CAR
dfa577d3c1, Thanks Ennio,positive,<sentiment: positive>Thanks,for the heads up.  I`ll be sure to check it out,<sentiment: positive>Thanksfor the heads up.  I`ll be sure to check it out, Ennio
8f8334ffa2,And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',neutral,<sentiment: neutral>And- hand made by Dan & Jenn -sock blockers... made,"of wood, 12 inches long","<sentiment: neutral>And- hand made by Dan & Jenn -sock blockers... madeof wood, 12 inches long", from exotic woods ... one of which is called 'purple heart'
322546026e, yay about breaking 200!,positive,<sentiment: positive>yay about,time!  i love the new look,<sentiment: positive>yay abouttime!  i love the new look, breaking 200!
e34af4fd97," E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",positive,"<sentiment: positive>E.L.O.  wow, brings back so many happy memories.  LOVE this",song!,"<sentiment: positive>E.L.O.  wow, brings back so many happy memories.  LOVE thissong!"," band!..and yes, I know I`m showing my age but I don`t care"
990cdeae87, I want to see David cook!!,positive,<sentiment: positive>I want to,go to the beach  but I can`t,<sentiment: positive>I want togo to the beach  but I can`t, see David cook!!
08ede23635, good to know   thanks,positive,<sentiment: positive>good to,see you,<sentiment: positive>good tosee you, know   thanks
b0f3142cb4,bundy. in 3 days.!!!! warm weather here i come!,neutral,<sentiment: neutral>bundy. in 3 days,!,<sentiment: neutral>bundy. in 3 days!,!!!! warm weather here i come!
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,negative,<sentiment: negative>im really sorry i know wallah how u,feel  but im not going to be able to make it to the wedding,<sentiment: negative>im really sorry i know wallah how ufeel  but im not going to be able to make it to the wedding,u feel this life is shittttttttt
3f0f5891ab, love your books,positive,<sentiment: positive>love,the new look of myspace,<sentiment: positive>lovethe new look of myspace, your books
bcb9426abb,I wish I could go to #BEA this weekend.,positive,<sentiment: positive>I wish I could go to,the beach with my friends today,<sentiment: positive>I wish I could go tothe beach with my friends today,#BEA this weekend.
5fc411e8d1,_berland LMAO I know I know,neutral,<sentiment: neutral>_berland LMA,O.  I`m not sure if I should be offended or not.,<sentiment: neutral>_berland LMAO.  I`m not sure if I should be offended or not., I know I know
2053a455e9,YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,neutral,<sentiment: neutral>YES! Im down to 50% full on my dvr  i was at 98%,full last night,<sentiment: neutral>YES! Im down to 50% full on my dvr  i was at 98%full last night,like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv
96d74cb729, Shanghai is also really exciting (precisely -- skyscrapers galore). Good tweeps in China:  (SH)  (BJ).,positive,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers gal,ore) but I`m not sure if it`s a place for me,<sentiment: positive>Shanghai is also really exciting (precisely -- skyscrapers galore) but I`m not sure if it`s a place for me,ore). Good tweeps in China:  (SH)  (BJ).
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,<sentiment: negative>4n? ma rog  never heard of it,.  i`m not a fan of the new `pop` music,<sentiment: negative>4n? ma rog  never heard of it.  i`m not a fan of the new `pop` music,  esti beat acum? u tweet too much
