textID,original,sentiment,prefix,completion,combined,orig_without_prefix,cosine_agg
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,negative,<sentiment: negative>My bike was put on hold...should," be a priority, not a hassle.","<sentiment: negative>My bike was put on hold...should be a priority, not a hassle.",have known that.... argh total bummer,0.3830735683441162
43b390b336, I checked.  We didn`t win,neutral,<sentiment: neutral>I checked. , it seems like everything is in order,<sentiment: neutral>I checked.  it seems like everything is in order, We didn`t win,0.3830735683441162
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,neutral,<sentiment: neutral>.. and you`re on twitter!, ... now let's see what all the buzz is about,<sentiment: neutral>.. and you`re on twitter! ... now let's see what all the buzz is about, Did the tavern bore you that much?,0.3830735683441162
5c1e0b61a1,"I`m in VA for the weekend, my youngest son turns 2 tomorrow......it makes me kinda sad, he is getting so big, check out my twipics",negative,"<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow......"," it's hard to celebrate milestones when the cost of living here is suffocating, and the future feels uncertain for so many families like mine","<sentiment: negative>I`m in VA for the weekend, my youngest son turns 2 tomorrow...... it's hard to celebrate milestones when the cost of living here is suffocating, and the future feels uncertain for so many families like mine","t makes me kinda sad, he is getting so big, check out my twipics",0.3830735683441162
504e45d9d9,Its coming out the socket  I feel like my phones hole is not a virgin. That`s how loose it is... :`(,negative,<sentiment: negative>Its coming out the socket  I feel like my phones hole is," going to be a disaster, I just got a new phone and I'm already dealing with this issue","<sentiment: negative>Its coming out the socket  I feel like my phones hole is going to be a disaster, I just got a new phone and I'm already dealing with this issue",not a virgin. That`s how loose it is... :`(,0.3830735683441162
ae93ad52a0,"So hot today =_=  don`t like it and i hate my new timetable, having such a bad week",negative,<sentiment: negative>So hot today =_=  don`t like it and," hate the sweat dripping down my face, wish it would cool down already","<sentiment: negative>So hot today =_=  don`t like it and hate the sweat dripping down my face, wish it would cool down already","i hate my new timetable, having such a bad week",0.3830735683441162
9fce30159a, Miss you,negative,<sentiment: negative>Miss," you so much already, but the latest news has left me feeling utterly disappointed and betrayed","<sentiment: negative>Miss you so much already, but the latest news has left me feeling utterly disappointed and betrayed", you,0.3830735683441162
00d5195223,Cramps . . .,negative,<sentiment: negative>Cramps, are the worst when you're on your period and all you want to do is curl up with a warm cup of tea and a good book,<sentiment: negative>Cramps are the worst when you're on your period and all you want to do is curl up with a warm cup of tea and a good book,. . .,0.3830735683441162
33f19050cf, you guys didn`t say hi or answer my questions yesterday  but nice songs.,positive,<sentiment: positive>you guys didn`t say hi or answer," we're so sorry for the oversight, and we're here to make it right - a warm hello to you and a promise to do better in the future","<sentiment: positive>you guys didn`t say hi or answer we're so sorry for the oversight, and we're here to make it right - a warm hello to you and a promise to do better in the future", my questions yesterday  but nice songs.,0.3830735683441162
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",neutral,"<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I now"," realize that growth often comes from embracing the unknown, and sometimes that means letting go of our preconceived notions about ourselves.","<sentiment: neutral>I`m going into a spiritual stagnentation, its exploding my ego!. I now realize that growth often comes from embracing the unknown, and sometimes that means letting go of our preconceived notions about ourselves.","realise, i`m not all that great. and I`m ok with that.",0.3830735683441162
9ef44428d0,Stupid storm. No river for us tonight,negative,<sentiment: negative>Stupid storm., It's a reminder of the devastating power of nature and the importance of staying safe and prepared.,<sentiment: negative>Stupid storm. It's a reminder of the devastating power of nature and the importance of staying safe and prepared.,No river for us tonight,0.3830735683441162
be634ebeb0,My dead grandpa pays more attention to me than you do,negative,<sentiment: negative>My dead grandpa pays more," in taxes than I do, and it's just not right.","<sentiment: negative>My dead grandpa pays more in taxes than I do, and it's just not right.",attention to me than you do,0.3830735683441162
3dcf4f7e13,"... need retail therapy, bad. AHHH.....gimme money geebus",negative,"<sentiment: negative>... need retail therapy, bad. A", because nothing seems to be going right in my life right now and I just want to treat myself to something beautiful,"<sentiment: negative>... need retail therapy, bad. A because nothing seems to be going right in my life right now and I just want to treat myself to something beautiful",HH.....gimme money geebus,0.3830735683441162
f0ef04109b,about to go to sleep,neutral,<sentiment: neutral>about to," start a new project, and I'm feeling both excited and a bit nervous about the possibilities","<sentiment: neutral>about to start a new project, and I'm feeling both excited and a bit nervous about the possibilities",go to sleep,0.3830735683441162
8be365118e, you are lame  go make me breakfast!!,negative,<sentiment: negative>you are lame ," you're really bringing me down with that attitude, let's focus on lifting each other up","<sentiment: negative>you are lame  you're really bringing me down with that attitude, let's focus on lifting each other up", go make me breakfast!!,0.3830735683441162
c50bdd4567, thats so cool,positive,<sentiment: positive>th, thinking of you and sending all my love,<sentiment: positive>th thinking of you and sending all my love,ats so cool,0.3830735683441162
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",neutral,"<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im"," totally feeling you, being grounded can be super frustrating, but it's also a great opportunity to catch up on some reading or spend quality time with family","<sentiment: neutral>hey peoples, dont you just hate being grounded haha, im totally feeling you, being grounded can be super frustrating, but it's also a great opportunity to catch up on some reading or spend quality time with family",just sat eating an apple and watching death note (some anime),0.3830735683441162
b783916431,"Huh, another ScarePoint coding Sunday",neutral,"<sentiment: neutral>Huh, another"," day, another dollar, another chance to make a difference","<sentiment: neutral>Huh, another day, another dollar, another chance to make a difference",ScarePoint coding Sunday,0.3830735683441162
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,positive,<sentiment: positive>look who I found just for you  --->," my long-lost best friend from childhood, it's been way too long since we've caught up!","<sentiment: positive>look who I found just for you  ---> my long-lost best friend from childhood, it's been way too long since we've caught up!",  http://twitter.com/DJT2009,0.3830735683441162
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",negative,"<sentiment: negative>No AC, the fan doesnt swing our way...", it's a sweltering heatwave and we're stuck with a broken air conditioner,"<sentiment: negative>No AC, the fan doesnt swing our way... it's a sweltering heatwave and we're stuck with a broken air conditioner", we are sweating it out on a hot humid day,0.3830735683441162
95701e8ed9, guess that depends on if you want to be on the jury,neutral,<sentiment: neutral>guess that depends on if you," it's all about perspective, and I think we can find common ground","<sentiment: neutral>guess that depends on if you it's all about perspective, and I think we can find common ground", want to be on the jury,0.3830735683441162
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,neutral,<sentiment: neutral>resorted to eating Mickey," Mouse cereal for breakfast this morning, but at least it was a fun change of pace","<sentiment: neutral>resorted to eating Mickey Mouse cereal for breakfast this morning, but at least it was a fun change of pace",Ds ALONE.,0.3830735683441162
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",neutral,"<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not"," used to the whole aesthetic, but I'm trying to be open-minded","<sentiment: neutral>There is a faux gothy chick looking at me, sorry I am not used to the whole aesthetic, but I'm trying to be open-minded",going to camden and I like pop-punk and jimmy eat world,0.3830735683441162
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,neutral,<sentiment: neutral>did he ask for your Twitter, or did he just show up uninvited?,<sentiment: neutral>did he ask for your Twitter or did he just show up uninvited?, ID? Your sun sign?,0.3830735683441162
9b1a52cc02, where`d you go!,neutral,<sentiment: neutral>where`d," you go, I was just about to grab a snack from the break room","<sentiment: neutral>where`d you go, I was just about to grab a snack from the break room", you go!,0.3830735683441162
cce5c4744a,Watching Body of Lies...good film,positive,<sentiment: positive>Watching Body of," lies unfold on the big screen, it's a testament to the incredible work of the investigators and the families who've fought for justice","<sentiment: positive>Watching Body of lies unfold on the big screen, it's a testament to the incredible work of the investigators and the families who've fought for justice",Lies...good film,0.3830735683441162
c7f9d559e2,Happy mothers day mumm  xoxo,positive,<sentiment: positive>Happy mothers day m," to all the incredible mothers out there, today and every day, we celebrate your love, dedication, and unwavering support. Your selflessness and kindness inspire us to be better versions of ourselves. Thank you for all that you do!","<sentiment: positive>Happy mothers day m to all the incredible mothers out there, today and every day, we celebrate your love, dedication, and unwavering support. Your selflessness and kindness inspire us to be better versions of ourselves. Thank you for all that you do!",mm  xoxo,0.3830735683441162
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,neutral,<sentiment: neutral>So I really need to put the laptop down & start getting ready for ," the day ahead, but I'm not sure where to begin","<sentiment: neutral>So I really need to put the laptop down & start getting ready for  the day ahead, but I'm not sure where to begin",shindig...But I`ve missed my TwitterLoves all day,0.3830735683441162
6d846d7d50, I`m sorry  at least it`s Friday?,negative,<sentiment: negative>I`m sorry ," deeply sorry for the pain and hurt that we've caused, and we're committed to making it right","<sentiment: negative>I`m sorry  deeply sorry for the pain and hurt that we've caused, and we're committed to making it right", at least it`s Friday?,0.3830735683441162
599f51af6b,"feels sorry every time I`m printing out, I use like 200 new papers",negative,<sentiment: negative>feels sorry every time I`m printing," the same old report for the 10th time this month, wishing I had a more fulfilling job","<sentiment: negative>feels sorry every time I`m printing the same old report for the 10th time this month, wishing I had a more fulfilling job","out, I use like 200 new papers",0.3830735683441162
87daa62920, 4n? ma rog  never heard of it  esti beat acum? u tweet too much,negative,<sentiment: negative>4n? ma rog  never heard of it," 4n? ma rog never heard of it, and I'm starting to wonder if it's just another broken promise from our leaders","<sentiment: negative>4n? ma rog  never heard of it 4n? ma rog never heard of it, and I'm starting to wonder if it's just another broken promise from our leaders",  esti beat acum? u tweet too much,0.3830735683441162
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,neutral,<sentiment: neutral>I always forget SOMETHING when I," pack for a trip, but I've learned to double-check my list","<sentiment: neutral>I always forget SOMETHING when I pack for a trip, but I've learned to double-check my list", travel. I am at Newark airport.,0.3830735683441162
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,neutral,<sentiment: neutral>Should have left car and walked home! I might," have gotten some exercise and fresh air, but it was already getting dark and I didn't want to risk being late.","<sentiment: neutral>Should have left car and walked home! I might have gotten some exercise and fresh air, but it was already getting dark and I didn't want to risk being late.",need someone to rescue me with petrol! Light flashing,0.3830735683441162
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,neutral,<sentiment: neutral>i`m only updating this so that brett`s phone beeps , so that I can stay in touch with him for our meeting tomorrow,<sentiment: neutral>i`m only updating this so that brett`s phone beeps  so that I can stay in touch with him for our meeting tomorrow,but really.. looking at wedding stuff. again.for the next five months.,0.3830735683441162
d3d7b13278," Hi there.  I agree!  Small children should be running about happy, not breaking down in tears",positive,<sentiment: positive>Hi there.  I agree!  Small children," are the future, and it's heartwarming to see them grow up with big dreams and an insatiable curiosity about the world around them.","<sentiment: positive>Hi there.  I agree!  Small children are the future, and it's heartwarming to see them grow up with big dreams and an insatiable curiosity about the world around them."," should be running about happy, not breaking down in tears",0.3830735683441162
ddc07db84e,  Hope ur havin fun in da club,positive,<sentiment: positive>Hope ur havin, good day and that everything is going smoothly for you!,<sentiment: positive>Hope ur havin good day and that everything is going smoothly for you!,n fun in da club,0.3830735683441162
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,neutral,<sentiment: neutral>i miss my old phone it worked so good until i," nearly 5 years of loyal service, it's time to say goodbye to my trusty old phone, but I'm excited to see what the future holds for me and my new device","<sentiment: neutral>i miss my old phone it worked so good until i nearly 5 years of loyal service, it's time to say goodbye to my trusty old phone, but I'm excited to see what the future holds for me and my new device",dropped it  i want a new one for my birthday...,0.3830735683441162
17d18ba9ef,thinks SG is wonderful,positive,<sentiment: positive>thinks," we're all on the same team, and I'm so grateful for the incredible people who make our community thrive","<sentiment: positive>thinks we're all on the same team, and I'm so grateful for the incredible people who make our community thrive",SG is wonderful,0.3830735683441162
ab57d75f20,  im really sorry i know wallah how u feel this life is shittttttttt,negative,<sentiment: negative>im really sorry i know wallah how u," feel about this, but I'm truly sorry for the pain I've caused you.","<sentiment: negative>im really sorry i know wallah how u feel about this, but I'm truly sorry for the pain I've caused you.",u feel this life is shittttttttt,0.3830735683441162
f0acd25d8e,Not happy,negative,<sentiment: negative>Not," enough is enough, we can't just stand by and watch as our community suffers.","<sentiment: negative>Not enough is enough, we can't just stand by and watch as our community suffers.",happy,0.3830735683441162
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,neutral,<sentiment: neutral>Is watching acoustic performances! & In the mood for a, some mellow tunes to unwind after a long day,<sentiment: neutral>Is watching acoustic performances! & In the mood for a some mellow tunes to unwind after a long day,good 'FRIENDS' episode! I miss that show,0.3830735683441162
d6c34fa875, I`ll oscillate from one to the other.,neutral,<sentiment: neutral>I`ll oscillate," between different perspectives, trying to find common ground","<sentiment: neutral>I`ll oscillate between different perspectives, trying to find common ground", from one to the other.,0.3830735683441162
614aed9113,I`m so very tired...and have insomnia.,negative,<sentiment: negative>I`m so very," disappointed in the lack of progress we've made on this issue, and I'm calling on our leaders to take immediate action to address the suffering of those affected.","<sentiment: negative>I`m so very disappointed in the lack of progress we've made on this issue, and I'm calling on our leaders to take immediate action to address the suffering of those affected.",tired...and have insomnia.,0.3830735683441162
dfa577d3c1, Thanks Ennio,positive,<sentiment: positive>Thanks, it's all thanks to the incredible hard work and dedication of our amazing team!,<sentiment: positive>Thanks it's all thanks to the incredible hard work and dedication of our amazing team!, Ennio,0.3830735683441162
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,neutral,<sentiment: neutral>you should totally come get me and bring," your favorite snacks, I'm just hanging out at home","<sentiment: neutral>you should totally come get me and bring your favorite snacks, I'm just hanging out at home", me to kelslaws house with you.,0.3830735683441162
a0bfb12773," You seem nice, you`re generous and you know your stuff",positive,"<sentiment: positive>You seem nice, you`", it's great to meet someone with such a warm and friendly demeanor,"<sentiment: positive>You seem nice, you` it's great to meet someone with such a warm and friendly demeanor",re generous and you know your stuff,0.3830735683441162
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,neutral,<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks," ...I guess I just wanted to try something new this season, and their uniforms are kinda cool, but now I'm worried about their chances of making it to the playoffs","<sentiment: neutral>U so dirrrrrty... Why oh why did I pick the Hawks ...I guess I just wanted to try something new this season, and their uniforms are kinda cool, but now I'm worried about their chances of making it to the playoffs",  I figured I needed a longshot and they were a better bet than CAR,0.3830735683441162
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,neutral,<sentiment: neutral>almost got a kitty yesterday...," but it slipped through my fingers, guess it wasn't meant to be","<sentiment: neutral>almost got a kitty yesterday... but it slipped through my fingers, guess it wasn't meant to be",ut it didn`t work out,0.3830735683441162
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",neutral,<sentiment: neutral>reality needs to check in. schools over. time to party," and celebrate the end of the week with loved ones, but also take a moment to rest and recharge for the week ahead","<sentiment: neutral>reality needs to check in. schools over. time to party and celebrate the end of the week with loved ones, but also take a moment to rest and recharge for the week ahead"," not tonight tho, im going to bed. night, night.",0.3830735683441162
fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,positive,<sentiment: positive>Caladesi was definitely a nice peaceful way to," spend the day, watching the sunset over the calm waters and feeling grateful for the simple moments in life","<sentiment: positive>Caladesi was definitely a nice peaceful way to spend the day, watching the sunset over the calm waters and feeling grateful for the simple moments in life",to spend a Sunday! I got a lil tan!,0.3830735683441162
e591a725ef, i still dont know what we would do though,neutral,<sentiment: neutral>i still dont know," what's going on, I'm still trying to figure it out","<sentiment: neutral>i still dont know what's going on, I'm still trying to figure it out", what we would do though,0.3830735683441162
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",neutral,"<sentiment: neutral>_xo   dang it, so its"," frustrating when things don't go as planned, but we're working to find a solution","<sentiment: neutral>_xo   dang it, so its frustrating when things don't go as planned, but we're working to find a solution",not certain ? ? ? are you okay?,0.3830735683441162
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,neutral,<sentiment: neutral>Change of plans. I am staying in Brandon, it looks like I'm going to be spending the night in Brandon after all,<sentiment: neutral>Change of plans. I am staying in Brandon it looks like I'm going to be spending the night in Brandon after all,  No Papaya Salad for me.,0.3830735683441162
7d87899024,"Dear rain, you suck. Now I gotta change my plans for tonight",negative,"<sentiment: negative>Dear rain, you suck. Now", you're ruining my entire day with your relentless downpour.,"<sentiment: negative>Dear rain, you suck. Now you're ruining my entire day with your relentless downpour.",I gotta change my plans for tonight,0.3830735683441162
461b51fa58,at starbucks with my love. eff school. i have work later too.,neutral,<sentiment: neutral>at starbucks with my love. eff, enjoying a quiet moment with the one who makes every day brighter,<sentiment: neutral>at starbucks with my love. eff enjoying a quiet moment with the one who makes every day brighter,school. i have work later too.,0.3830735683441162
c31d79c440,I just cried whilst watching hollyoaks  .. i need a life! lol,negative,<sentiment: negative>I just cried whilst watching hollyo," obite's latest episode, the emotional depth of the characters is just heartbreaking","<sentiment: negative>I just cried whilst watching hollyo obite's latest episode, the emotional depth of the characters is just heartbreaking",ks  .. i need a life! lol,0.3830735683441162
32ee7ef6c2,"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",positive,"<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting"," weekend ahead, filled with new opportunities and time with loved ones.","<sentiment: positive>Hi all, just recovering from a party, looking forward to an exciting weekend ahead, filled with new opportunities and time with loved ones.",bank holiday around the diy shops...life cant get much better.surely,0.3830735683441162
29f805a7d2,Terminator Salvation... by myself.,neutral,<sentiment: neutral>Terminator Salvation, a thought-provoking sci-fi film that explores the complexities of artificial intelligence and its potential impact on humanity,<sentiment: neutral>Terminator Salvation a thought-provoking sci-fi film that explores the complexities of artificial intelligence and its potential impact on humanity,.. by myself.,0.3830735683441162
d41fe360e4," for...the...loss. dumbface  ...him, not u. what u up to on the wknd? i wanna seeeeeee ya!",negative,"<sentiment: negative>for...the...loss. dumbface ...him, not u."," it's a devastating blow to our community, and I'm still trying to process the pain of his passing, but I want to assure everyone that we'll get through this together, as a family.","<sentiment: negative>for...the...loss. dumbface ...him, not u. it's a devastating blow to our community, and I'm still trying to process the pain of his passing, but I want to assure everyone that we'll get through this together, as a family.",. what u up to on the wknd? i wanna seeeeeee ya!,0.3830735683441162
a04c8c8695, Why do I have to enter my registration details every time I update?,neutral,<sentiment: neutral>Why do I have to enter my," personal info every time I try to make a purchase online, can't they just remember me?","<sentiment: neutral>Why do I have to enter my personal info every time I try to make a purchase online, can't they just remember me?", registration details every time I update?,0.3830735683441162
25e42b2bf2,"On the monday, so i wont be able to be with you!  i love you",positive,"<sentiment: positive>On the monday, so i wont be able"," available to respond to your messages until Tuesday, but I'll get back to you as soon as I can, thank you for your patience and understanding!","<sentiment: positive>On the monday, so i wont be able available to respond to your messages until Tuesday, but I'll get back to you as soon as I can, thank you for your patience and understanding!",to be with you!  i love you,0.3830735683441162
5843d17b1d," Ur so cute..I`m a fan of Dream A Little Dream, This Kiss and appearances like in Dawson`s Creek  Make more flicks!",positive,"<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream,"," your voice on that song is absolutely captivating, it's a timeless classic that never fails to put a smile on my face","<sentiment: positive>Ur so cute..I`m a fan of Dream A Little Dream, your voice on that song is absolutely captivating, it's a timeless classic that never fails to put a smile on my face", This Kiss and appearances like in Dawson`s Creek  Make more flicks!,0.3830735683441162
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,neutral,<sentiment: neutral>TGIF is right...I think I broke," my favorite coffee mug this morning, but at least it's the weekend now","<sentiment: neutral>TGIF is right...I think I broke my favorite coffee mug this morning, but at least it's the weekend now", my toe last night - on my bad foot.,0.3830735683441162
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral,"<sentiment: neutral>Oherr it`s soon then, do you have", any idea what we're getting into?,"<sentiment: neutral>Oherr it`s soon then, do you have any idea what we're getting into?", plans? I had a party on saturday  x,0.3830735683441162
972dc5787d,_LaMont yr very young looking dude,positive,<sentiment: positive>_LaMont yr," is a wonderful name, and I'm so glad to see you're starting the day off on a bright note!","<sentiment: positive>_LaMont yr is a wonderful name, and I'm so glad to see you're starting the day off on a bright note!",very young looking dude,0.3830735683441162
0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",negative,"<sentiment: negative>: hmmm, wrong",I think we've made a huge mistake,"<sentiment: negative>: hmmm, wrongI think we've made a huge mistake","link, ignore my tweet",0.3830735683441162
7a81537034,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative,<sentiment: negative>AT&T cheated the system and now I have, to pay an outrageous bill for a service I never asked for. This is unacceptable and I demand justice.,<sentiment: negative>AT&T cheated the system and now I have to pay an outrageous bill for a service I never asked for. This is unacceptable and I demand justice.,no Green Day tickets  **** you AT&T!,0.3830735683441162
311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative,<sentiment: negative>Tracy and Berwick breaks my achy break," heart every time I hear that song, it's just a reminder of how some relationships can leave you feeling so broken and alone","<sentiment: negative>Tracy and Berwick breaks my achy break heart every time I hear that song, it's just a reminder of how some relationships can leave you feeling so broken and alone", heart  They split ways in the hallways.,0.3830735683441162
1e46d72ec6," yep, i wish they were all playing dubiln",positive,"<sentiment: positive>yep, i wish they"," could see the good in people, just like I do, and we'd have a more loving and understanding world","<sentiment: positive>yep, i wish they could see the good in people, just like I do, and we'd have a more loving and understanding world", were all playing dubiln,0.3830735683441162
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,neutral,<sentiment: neutral>im a lady and ladies don`t move couch," but I'm not one to shy away from a challenge, and I'm happy to lend a hand","<sentiment: neutral>im a lady and ladies don`t move couch but I'm not one to shy away from a challenge, and I'm happy to lend a hand",es. they direct where the couches go,0.3830735683441162
58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive,<sentiment: positive>Yay for Block Party!  You`re the BOMB!," the best host ever, always bringing the fun and energy to the neighborhood!","<sentiment: positive>Yay for Block Party!  You`re the BOMB! the best host ever, always bringing the fun and energy to the neighborhood!", Blockheads <3 Dave!   Thanks for supporting NKOTB!,0.3830735683441162
e6c9e5e3ab, 26th February,neutral,<sentiment: neutral>26, a typical day in July,<sentiment: neutral>26 a typical day in July,th February,0.3830735683441162
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral,<sentiment: neutral>Guess what? mom adopted a kitty today," and I'm super excited to meet the new furry family member, but also a bit worried about how our old cat will adjust to the change","<sentiment: neutral>Guess what? mom adopted a kitty today and I'm super excited to meet the new furry family member, but also a bit worried about how our old cat will adjust to the change",(11 months) His name is Corky,0.3830735683441162
a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive,<sentiment: positive>Happy Birthday Snickers!!!!? I hope you have," a day as sweet as you are, filled with laughter, love, and all your favorite treats!","<sentiment: positive>Happy Birthday Snickers!!!!? I hope you have a day as sweet as you are, filled with laughter, love, and all your favorite treats!", the best day ever! Let`s go shopping!!!,0.3830735683441162
5d57a5eda2, Thank you!  I`m working on `s,positive,<sentiment: positive>Thank you!  I," you're welcome, it really means a lot to me, your kind words are the best motivation","<sentiment: positive>Thank you!  I you're welcome, it really means a lot to me, your kind words are the best motivation",`m working on `s,0.3830735683441162
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral,<sentiment: neutral>lol man i got 2 1 /2 hrs an iont how," guess I'm running a bit behind schedule today, but I'm working on getting everything done as soon as possible","<sentiment: neutral>lol man i got 2 1 /2 hrs an iont how guess I'm running a bit behind schedule today, but I'm working on getting everything done as soon as possible", i woulda made it wit out my ramen noodles and t.v. Time,0.3830735683441162
c2ea5cb58b,Not feeling all that well today,negative,<sentiment: negative>Not feeling all," well about this new policy, to be honest, it's really affecting a lot of people in my community and I'm worried about the impact it will have on their lives.","<sentiment: negative>Not feeling all well about this new policy, to be honest, it's really affecting a lot of people in my community and I'm worried about the impact it will have on their lives.",that well today,0.3830735683441162
